iter	MultiClass
0	1.91792859
1	1.808347929
2	1.733596362
3	1.677610645
4	1.628578311
5	1.586565025
6	1.551779733
7	1.522460087
8	1.494658503
9	1.467197813
10	1.44380274
11	1.421419917
12	1.396484586
13	1.377249591
14	1.362511752
15	1.346566378
16	1.330867001
17	1.313553296
18	1.299801842
19	1.288195645
20	1.280038388
21	1.265831208
22	1.256902513
23	1.248538347
24	1.238725235
25	1.233246011
26	1.225243893
27	1.217368017
28	1.210048528
29	1.205331331
30	1.200946207
31	1.195189617
32	1.18966349
33	1.181526534
34	1.176015994
35	1.171360787
36	1.166927663
37	1.162387048
38	1.158415547
39	1.152541951
40	1.148819358
41	1.145195415
42	1.142474344
43	1.139855116
44	1.136976066
45	1.134058574
46	1.128556745
47	1.124994363
48	1.122011371
49	1.118821027
50	1.116763264
51	1.115510397
52	1.114217443
53	1.111796284
54	1.10984371
55	1.106690223
56	1.102518578
57	1.099932605
58	1.097454516
59	1.095354
60	1.092988614
61	1.090352271
62	1.089326781
63	1.086809928
64	1.084179465
65	1.081683762
66	1.079867742
67	1.07745661
68	1.075585012
69	1.07332861
70	1.072162249
71	1.070901781
72	1.069499807
73	1.06755252
74	1.065856397
75	1.064296325
76	1.062540269
77	1.061185854
78	1.06032353
79	1.058996619
80	1.05751615
81	1.055569684
82	1.05451074
83	1.053348681
84	1.052445886
85	1.050424126
86	1.048544684
87	1.047699284
88	1.04644544
89	1.045080729
90	1.043573977
91	1.041998325
92	1.040070762
93	1.038925426
94	1.035159193
95	1.034019803
96	1.032693348
97	1.031608637
98	1.030459988
99	1.028595892
100	1.026556239
101	1.025264656
102	1.0233349
103	1.022387109
104	1.020608568
105	1.018930667
106	1.017211085
107	1.015691195
108	1.013766968
109	1.012435225
110	1.011527682
111	1.010189082
112	1.00919773
113	1.00848915
114	1.007530642
115	1.007060568
116	1.004991329
117	1.003261183
118	1.002660254
119	1.001748687
120	1.000435157
121	0.9997362906
122	0.9990785706
123	0.9979466223
124	0.9973013803
125	0.9957284157
126	0.9943027719
127	0.9934205809
128	0.9914917685
129	0.9907243191
130	0.989754113
131	0.9889835061
132	0.9882694569
133	0.9864169714
134	0.9848887808
135	0.9844785215
136	0.9839142443
137	0.9817158054
138	0.9811297348
139	0.9797936802
140	0.9790938767
141	0.9781149744
142	0.9773723096
143	0.9765330623
144	0.9750933442
145	0.974277427
146	0.9729944875
147	0.972029977
148	0.9710526081
149	0.9693669712
150	0.9687270348
151	0.9673498571
152	0.967001046
153	0.9657530223
154	0.9645831894
155	0.9639325651
156	0.9630983254
157	0.9624196365
158	0.9620017485
159	0.9610885925
160	0.9594234376
161	0.958384537
162	0.9579723812
163	0.9568513226
164	0.9560663841
165	0.9554716648
166	0.9542909808
167	0.9531476322
168	0.9522184204
169	0.9516955138
170	0.9508196618
171	0.9494282936
172	0.9482844254
173	0.9475980789
174	0.9467536404
175	0.9447789277
176	0.9437555073
177	0.9431932995
178	0.9425735059
179	0.9420941555
180	0.9411243344
181	0.9403383868
182	0.9397726162
183	0.9393297831
184	0.9383587518
185	0.9375796906
186	0.9370604108
187	0.936220674
188	0.9358169027
189	0.9349198448
190	0.9336949573
191	0.9332232944
192	0.9322179511
193	0.9308245654
194	0.9304388524
195	0.9292424524
196	0.9282102719
197	0.9271750198
198	0.9266315954
199	0.9257135065
200	0.9251379131
201	0.9242451953
202	0.9233632859
203	0.9223139321
204	0.9218311267
205	0.921130972
206	0.9201711303
207	0.9192342983
208	0.9187455284
209	0.9180372875
210	0.9171219054
211	0.916191138
212	0.9154478732
213	0.9142953943
214	0.913400534
215	0.912374751
216	0.9118616391
217	0.9110596657
218	0.9102253456
219	0.9095144776
220	0.9088483901
221	0.9084511392
222	0.9078225881
223	0.9069970603
224	0.9064295466
225	0.9058460801
226	0.9055006517
227	0.9045909191
228	0.9035303632
229	0.9026892598
230	0.9014514038
231	0.9008033474
232	0.9003443116
233	0.8998551339
234	0.89883658
235	0.8976497443
236	0.8963934576
237	0.8958140645
238	0.8949850146
239	0.8946016407
240	0.8935163839
241	0.8929543135
242	0.8921231623
243	0.8911052652
244	0.890095622
245	0.8885388229
246	0.8880752067
247	0.8870136562
248	0.8856917986
249	0.8850113904
250	0.8841171264
251	0.8829023496
252	0.8820879633
253	0.8814210194
254	0.8809599537
255	0.8796660226
256	0.8791718895
257	0.8781886763
258	0.8776397432
259	0.8770696438
260	0.876433404
261	0.8758322211
262	0.8751717272
263	0.8741268156
264	0.8727576725
265	0.871690877
266	0.871333966
267	0.8707670455
268	0.8703814526
269	0.8697173048
270	0.8694115567
271	0.8688199661
272	0.8682284446
273	0.8676044482
274	0.8664749219
275	0.865692132
276	0.8653294178
277	0.8648627308
278	0.8644388036
279	0.8639660886
280	0.8631504798
281	0.8620216782
282	0.8612651163
283	0.860805544
284	0.8602154641
285	0.8593166932
286	0.8586772478
287	0.8577712458
288	0.8563535501
289	0.8557935754
290	0.855470507
291	0.8550951213
292	0.8544489966
293	0.8536053329
294	0.8529753257
295	0.852341597
296	0.8513159427
297	0.8505247503
298	0.8499145191
299	0.8492662121
