iter	Passed	Remaining
0	10	3131
1	19	2878
2	26	2594
3	34	2570
4	45	2692
5	53	2643
6	60	2526
7	67	2476
8	75	2457
9	83	2433
10	89	2353
11	95	2289
12	103	2291
13	112	2300
14	119	2261
15	124	2210
16	131	2185
17	140	2195
18	147	2178
19	153	2147
20	158	2108
21	166	2102
22	172	2082
23	179	2065
24	185	2042
25	191	2018
26	198	2008
27	204	1989
28	210	1969
29	216	1948
30	222	1934
31	230	1931
32	237	1922
33	244	1909
34	250	1892
35	257	1886
36	265	1887
37	271	1870
38	277	1854
39	283	1842
40	289	1831
41	296	1823
42	302	1809
43	308	1795
44	314	1783
45	321	1772
46	328	1767
47	334	1755
48	340	1744
49	346	1733
50	352	1722
51	359	1715
52	366	1706
53	371	1694
54	377	1681
55	385	1678
56	392	1673
57	398	1664
58	405	1654
59	411	1645
60	417	1634
61	423	1626
62	429	1616
63	435	1607
64	442	1599
65	448	1588
66	455	1584
67	463	1580
68	469	1571
69	475	1562
70	481	1553
71	489	1549
72	495	1541
73	502	1533
74	507	1523
75	513	1514
76	521	1509
77	528	1505
78	535	1498
79	542	1491
80	551	1489
81	558	1485
82	565	1479
83	572	1472
84	579	1465
85	587	1461
86	594	1455
87	600	1447
88	607	1440
89	614	1434
90	621	1426
91	627	1419
92	635	1413
93	642	1408
94	650	1403
95	657	1398
96	665	1392
97	673	1388
98	682	1386
99	691	1382
100	698	1375
101	705	1368
102	712	1363
103	719	1356
104	727	1350
105	734	1345
106	743	1341
107	751	1335
108	758	1328
109	765	1322
110	772	1315
111	781	1311
112	787	1303
113	794	1295
114	801	1289
115	818	1298
116	825	1291
117	833	1286
118	844	1284
119	853	1280
120	861	1275
121	868	1267
122	877	1262
123	884	1255
124	890	1247
125	897	1239
126	905	1232
127	911	1225
128	918	1217
129	924	1209
130	932	1202
131	940	1196
132	947	1190
133	955	1183
134	962	1175
135	970	1169
136	978	1163
137	985	1156
138	992	1149
139	999	1142
140	1006	1135
141	1013	1128
142	1019	1119
143	1026	1112
144	1034	1105
145	1040	1097
146	1047	1090
147	1054	1082
148	1060	1074
149	1069	1069
150	1077	1063
151	1085	1056
152	1092	1049
153	1101	1044
154	1109	1037
155	1116	1030
156	1122	1022
157	1130	1016
158	1137	1008
159	1143	1000
160	1150	993
161	1157	985
162	1166	980
163	1173	972
164	1180	965
165	1187	958
166	1200	955
167	1209	950
168	1225	949
169	1232	942
170	1239	935
171	1246	927
172	1254	920
173	1261	913
174	1268	905
175	1275	898
176	1283	891
177	1294	886
178	1301	879
179	1308	872
180	1316	865
181	1325	859
182	1332	852
183	1339	844
184	1347	837
185	1354	830
186	1361	822
187	1368	815
188	1374	807
189	1381	799
190	1389	792
191	1396	785
192	1403	777
193	1410	770
194	1416	762
195	1423	755
196	1430	747
197	1437	740
198	1443	732
199	1450	725
200	1457	717
201	1464	710
202	1472	703
203	1479	696
204	1487	689
205	1494	681
206	1501	674
207	1508	667
208	1515	659
209	1522	652
210	1529	645
211	1536	637
212	1543	630
213	1551	623
214	1558	616
215	1565	608
216	1572	601
217	1579	594
218	1586	586
219	1593	579
220	1600	571
221	1607	564
222	1615	557
223	1622	550
224	1629	543
225	1635	535
226	1642	528
227	1650	521
228	1658	514
229	1665	506
230	1673	499
231	1682	493
232	1690	486
233	1699	479
234	1706	471
235	1715	465
236	1723	458
237	1730	450
238	1738	443
239	1746	436
240	1754	429
241	1762	422
242	1770	415
243	1778	408
244	1786	401
245	1792	393
246	1799	386
247	1806	378
248	1813	371
249	1820	364
250	1826	356
251	1833	349
252	1851	344
253	1858	336
254	1866	329
255	1875	322
256	1883	315
257	1891	307
258	1898	300
259	1909	293
260	1916	286
261	1923	278
262	1930	271
263	1939	264
264	1946	257
265	1953	249
266	1960	242
267	1967	234
268	1974	227
269	1981	220
270	1988	212
271	1995	205
272	2003	198
273	2011	190
274	2018	183
275	2025	176
276	2033	168
277	2039	161
278	2046	154
279	2053	146
280	2060	139
281	2067	131
282	2075	124
283	2082	117
284	2089	109
285	2098	102
286	2107	95
287	2114	88
288	2121	80
289	2130	73
290	2137	66
291	2144	58
292	2150	51
293	2159	44
294	2166	36
295	2173	29
296	2180	22
297	2187	14
298	2194	7
299	2200	0
