id,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
19219,0.13964856,0.020855153,0.008586111,0.34068534,0.437327,0.00813922,0.008963019
19220,0.15667655,0.16306444,0.021755628,0.34331068,0.23980644,0.00921766,0.020087412
19221,0.26940107,0.01490926,0.044793915,0.5301715,0.010547611,0.010250215,0.05238574
19222,0.3746543,0.020176739,0.008314064,0.41971064,0.12963387,0.00886597,0.009708087
19223,0.601213,0.013474053,0.007870359,0.31647196,0.00941335,0.00792438,0.008183189
19224,0.17833237,0.049626473,0.012384164,0.26123136,0.11597405,0.01009482,0.32154337
19225,0.06781212,0.04544166,0.008238707,0.47915047,0.34533727,0.007822412,0.008680614
19226,0.23036529,0.036936395,0.009676325,0.5117214,0.019748684,0.014146156,0.12747025
19227,0.1284203,0.011277773,0.23908252,0.3187401,0.0075852014,0.00867237,0.23079504
19228,0.23155762,0.0115757445,0.009734584,0.39638186,0.30981264,0.008161033,0.008711343
19229,0.3539451,0.03072697,0.0097208135,0.48848355,0.00972474,0.010428095,0.03744114
19230,0.0034912073,0.0036155279,0.9450149,0.0298086,0.003362832,0.0033277166,0.003861905
19231,0.0036410487,0.0035740996,0.9515793,0.023987992,0.0031585777,0.003161391,0.0036116394
19232,0.121383615,0.041903242,0.008777872,0.62110424,0.1232194,0.008603612,0.028766591
19233,0.43268424,0.01755468,0.009638259,0.44388098,0.010416376,0.011007968,0.019836813
19234,0.47525957,0.01315605,0.007540919,0.41231617,0.0078356005,0.008858037,0.027492886
19235,0.67469615,0.0114439605,0.008775004,0.21383625,0.034052156,0.008730405,0.01061533
19236,0.13701738,0.1111463,0.050509144,0.44193894,0.061175365,0.011689153,0.03367477
19237,0.5450619,0.013022112,0.008488641,0.22891708,0.16217773,0.008514988,0.008691808
19238,0.21297152,0.008931137,0.0061068153,0.22342502,0.0061797905,0.007106609,0.5021624
19239,0.004159696,0.0040971567,0.9324028,0.03798208,0.0035827064,0.0035349808,0.004039486
19240,0.21061574,0.037552122,0.008704276,0.57952243,0.10993167,0.008670341,0.008720611
19241,0.4461628,0.015304856,0.009119701,0.44145244,0.011546892,0.013002881,0.009796046
19242,0.003455305,0.004365466,0.9355523,0.031930886,0.0045360043,0.0033530903,0.003546681
19243,0.1632901,0.0122968005,0.011809573,0.25545856,0.047964387,0.006287192,0.46321505
19244,0.0034725561,0.003563296,0.94647616,0.028825246,0.0032962456,0.0032618255,0.0037492968
19245,0.1387339,0.016560724,0.008117476,0.60116065,0.14491478,0.007834319,0.033725657
19246,0.17612821,0.02696091,0.009820393,0.37147963,0.31468445,0.009419902,0.05262665
19247,0.29496586,0.016849443,0.057003323,0.34330145,0.01667543,0.00959327,0.21870732
19248,0.012434726,0.006260604,0.83332074,0.098659106,0.00556556,0.0054690964,0.009676881
19249,0.49822557,0.008893052,0.007720772,0.40776536,0.021530693,0.00769551,0.013597127
19250,0.018025067,0.013225418,0.0059453286,0.13240673,0.006273957,0.7899232,0.0059618535
19251,0.543805,0.013287333,0.008046416,0.32566383,0.06420754,0.010061902,0.008393645
19252,0.52138656,0.0117359115,0.009203726,0.25031206,0.018028848,0.009169497,0.14426877
19253,0.0494679,0.007370309,0.7354827,0.16564824,0.010786003,0.0054348772,0.0047107125
19254,0.33747798,0.016095597,0.008101746,0.48936707,0.008266473,0.014347818,0.069713786
19255,0.13668582,0.013737427,0.008201948,0.46872333,0.32217193,0.007831453,0.008256263
19256,0.08478369,0.007269948,0.004988672,0.15526697,0.011329807,0.0050677327,0.7017161
19257,0.2518515,0.09552271,0.025266897,0.43925503,0.10438796,0.010224728,0.019792592
19258,0.1907994,0.010311491,0.009941318,0.45847264,0.29012382,0.0075647407,0.008741917
19259,0.0033148292,0.003439589,0.95535755,0.02039993,0.0031844263,0.0031504363,0.003685719
19260,0.31869018,0.053966887,0.008790504,0.3880193,0.020796934,0.008936005,0.13955842
19261,0.02673242,0.048407488,0.4064408,0.24045368,0.162534,0.010280863,0.018741855
19262,0.28717747,0.02871911,0.01070876,0.36096674,0.21562363,0.0105876755,0.031322997
19263,0.4669153,0.017037382,0.009658203,0.36585248,0.0702835,0.009691378,0.017249115
19264,0.59322816,0.0121364575,0.0075413445,0.3169256,0.026093861,0.007838576,0.011498553
19265,0.46415678,0.019423041,0.0072457194,0.4210402,0.038307197,0.01296141,0.007605729
19266,0.0039362423,0.004133499,0.9216477,0.048481323,0.0038150172,0.0037582659,0.0047675325
19267,0.30429208,0.08167806,0.010535815,0.41009527,0.1264613,0.01070715,0.016488608
19268,0.17439304,0.010439416,0.0093342615,0.696571,0.0067375973,0.0061071026,0.045757104
19269,0.003843839,0.0038429832,0.9355266,0.03710344,0.0035752268,0.0035370653,0.004234458
19270,0.02704538,0.68054146,0.0057243453,0.15185711,0.08637721,0.0047286465,0.00904942
