id,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
19219,0.16440576,0.028019575,0.008856821,0.32420734,0.421898,0.008461207,0.009434413
19220,0.21212967,0.15081747,0.019914275,0.29806605,0.2423144,0.009267041,0.023741698
19221,0.29549778,0.015509208,0.04608267,0.52939093,0.009335803,0.008968467,0.04200922
19222,0.3255642,0.01698153,0.009125398,0.4217184,0.17093979,0.009754411,0.010659459
19223,0.56765145,0.014489198,0.008312368,0.3304181,0.010786173,0.010249355,0.0091000395
19224,0.19901703,0.052911814,0.010819186,0.25411016,0.1349576,0.010109279,0.28628227
19225,0.06582213,0.024978671,0.007867772,0.54725957,0.31030014,0.0074914848,0.0082032075
19226,0.24337274,0.036165327,0.008772204,0.4844111,0.017305002,0.012479691,0.15050024
19227,0.11571746,0.014856154,0.18160304,0.32472384,0.007607058,0.008078218,0.2582522
19228,0.22349146,0.010883911,0.009077709,0.4308042,0.28425142,0.008173133,0.009107734
19229,0.3891358,0.024387475,0.009297692,0.45904157,0.009547296,0.009966871,0.029007187
19230,0.0052347807,0.003587318,0.9497641,0.023794334,0.0032923413,0.0032623133,0.0036809708
19231,0.0038625798,0.0036981052,0.9448479,0.03009427,0.0032927783,0.003367693,0.0037050934
19232,0.10664864,0.023615563,0.008421818,0.6448543,0.11214172,0.007402201,0.06093933
19233,0.53255063,0.013959321,0.009074499,0.33378717,0.009549663,0.014139421,0.021898858
19234,0.43640858,0.015391721,0.007881279,0.45282254,0.008310257,0.00869906,0.02629659
19235,0.73161787,0.01065113,0.007817469,0.17643426,0.029194113,0.007733281,0.008204236
19236,0.17864399,0.07044175,0.059518535,0.43795654,0.056409467,0.010102161,0.033156823
19237,0.573365,0.014811206,0.009761524,0.22816843,0.120671324,0.009932253,0.009945556
19238,0.16964743,0.008357614,0.005632974,0.2314388,0.0057735774,0.006135777,0.541106
19239,0.004652456,0.0041474914,0.93334144,0.03507124,0.0037346669,0.0038637237,0.00421014
19240,0.20264594,0.034960765,0.0086303465,0.5670796,0.13288085,0.00880451,0.008889251
19241,0.5407891,0.016991895,0.008745782,0.35057917,0.011688839,0.009838432,0.011041446
19242,0.0038166023,0.006037567,0.9270736,0.037163362,0.008337613,0.0030995528,0.004225778
19243,0.14503945,0.011030132,0.008110569,0.2782389,0.026420228,0.0058067366,0.48817906
19244,0.0032436624,0.0032199228,0.9516051,0.02740689,0.0029520872,0.0029282034,0.0031977335
19245,0.12606084,0.017239623,0.00843939,0.5991159,0.16555746,0.0074659367,0.03425684
19246,0.18891019,0.025154762,0.010200171,0.36553264,0.32722765,0.009606267,0.032557104
19247,0.21604624,0.015814995,0.041713804,0.3371904,0.015049919,0.008496774,0.3205229
19248,0.010742455,0.0051789125,0.8928259,0.049700882,0.0046218056,0.0044919583,0.00681942
19249,0.5032489,0.009034349,0.007920773,0.406736,0.02111252,0.007927208,0.008418061
19250,0.021359792,0.01449734,0.004677411,0.1371615,0.005611775,0.78290606,0.0060336264
19251,0.5044591,0.014764165,0.008788685,0.36250952,0.06017658,0.009549949,0.0089924885
19252,0.47979978,0.012011616,0.009034546,0.25385898,0.017738732,0.008991978,0.18507299
19253,0.052723423,0.008524582,0.69526523,0.18935123,0.012433534,0.0058265217,0.005196317
19254,0.37276193,0.013812064,0.008132522,0.48817638,0.008351813,0.012258633,0.039091837
19255,0.16736504,0.014427954,0.008304966,0.35185105,0.4121285,0.0077946577,0.007988714
19256,0.08659837,0.008888682,0.005327453,0.17396198,0.011043861,0.0056890496,0.67787087
19257,0.2549233,0.08865501,0.028009728,0.44305563,0.10824892,0.010558582,0.02243496
19258,0.25657347,0.010406112,0.009085393,0.39195555,0.28962478,0.00814311,0.009245865
19259,0.0031027854,0.0030996548,0.9616406,0.017843058,0.0028315217,0.0027990085,0.0031022187
19260,0.28520238,0.035092592,0.009939002,0.40485793,0.021824488,0.010915054,0.14711252
19261,0.02085487,0.03021258,0.5820962,0.21748717,0.08463675,0.008055938,0.016010929
19262,0.26194558,0.030238418,0.0103285685,0.3424926,0.26904458,0.0100887185,0.033341896
19263,0.46423855,0.01891173,0.009844482,0.3435822,0.0977409,0.010585198,0.016135382
19264,0.58362275,0.010815092,0.007730256,0.32363486,0.027790016,0.008114228,0.010313236
19265,0.48535258,0.018922832,0.0073943087,0.3978511,0.0422438,0.013246062,0.008497533
19266,0.007367098,0.0044194977,0.92361385,0.03765014,0.0039812345,0.0039443723,0.0047189905
19267,0.31066543,0.091565475,0.01040065,0.39993277,0.12004521,0.010584042,0.017514814
19268,0.21640424,0.013257113,0.016058031,0.6591847,0.00805772,0.006728738,0.03382148
19269,0.0037506751,0.0037179592,0.9202078,0.055006776,0.0034088676,0.0033811189,0.00375057
19270,0.029526845,0.727765,0.0046032867,0.13114361,0.073595576,0.00423645,0.007700348
19271,0.21930584,0.015804743,0.05313129,0.61875683,0.012680002,0.008489548,0.016810307
19272,0.24044514,0.05717004,0.023449855,0.28854802,0.325978,0.008215804,0.014887064
19273,0.5288176,0.023056235,0.0077759987,0.3118878,0.009773676,0.057377566,0.009218635
19274,0.528757,0.01627215,0.008447996,0.35558712,0.042701926,0.008568824,0.008593568
19275,0.44338056,0.019838352,0.04151057,0.3836924,0.03877579,0.010602782,0.015291539
19276,0.33106342,0.064879954,0.031222135,0.4049506,0.04995603,0.010684615,0.051600195
19277,0.26485553,0.012809241,0.0069414666,0.62784,0.0072480724,0.00693206,0.022862675
19278,0.31341967,0.017097365,0.009943178,0.49468738,0.09455431,0.009546565,0.019803002
19279,0.22558655,0.015452907,0.00765348,0.6038337,0.07641363,0.014171601,0.007494251
19280,0.29414338,0.044800375,0.0356502,0.39777738,0.13139102,0.011064087,0.039196454
19281,0.004510781,0.0037219464,0.94678247,0.024869245,0.0034138265,0.0033859406,0.0038124593
19282,0.63914907,0.010977751,0.00705455,0.2153163,0.08778254,0.0069676954,0.007662017
19283,0.027062679,0.010423935,0.6719329,0.21569979,0.0068885987,0.007907049,0.026235078
19284,0.2621119,0.081796765,0.07507814,0.4189471,0.041460715,0.011089118,0.028044935
19285,0.03541384,0.0239425,0.51359785,0.27734837,0.04679375,0.0085435705,0.019371439
19286,0.04187416,0.028995203,0.29870582,0.3287235,0.16470657,0.008936549,0.057985425
19287,0.3462255,0.08662487,0.011189695,0.30329219,0.11804801,0.010519483,0.012776967
19288,0.62097234,0.008343673,0.007063351,0.2999749,0.015330514,0.0071052522,0.009784851
19289,0.64925176,0.0112004625,0.0070403125,0.24217379,0.05114288,0.0077565988,0.0072463118
19290,0.3006441,0.0589725,0.081143335,0.39358303,0.10511153,0.010281591,0.012607268
19291,0.0036989462,0.0035829283,0.9474221,0.027427347,0.0032927815,0.00326295,0.003632181
19292,0.39310193,0.025637595,0.021517757,0.34118304,0.15548526,0.009489377,0.019777164
19293,0.18670961,0.0138896275,0.007314317,0.6724623,0.021398457,0.0070781186,0.0550758
19294,0.4183905,0.012078106,0.009235681,0.42838496,0.026306896,0.012164591,0.04587841
19295,0.45583567,0.01283009,0.0077026547,0.45482466,0.007916262,0.0075423564,0.02219911
19296,0.6710405,0.010370411,0.008021305,0.23211536,0.018504385,0.007983514,0.018866831
19297,0.28044227,0.0212682,0.018209841,0.4381091,0.12304548,0.008128799,0.012771658
19298,0.14755012,0.06492117,0.027967839,0.5915483,0.030228982,0.009403279,0.014320468
19299,0.17782696,0.03523745,0.030775927,0.4356629,0.12615429,0.013181116,0.079703405
19300,0.006811372,0.0068782447,0.8929895,0.052686997,0.0074509494,0.0035169036,0.00830199
19301,0.006499138,0.0035584809,0.9345399,0.031937648,0.0032528727,0.0032238537,0.003902805
19302,0.011972371,0.012205712,0.006054251,0.16455513,0.008473497,0.77246785,0.0065954607
19303,0.11665602,0.011717119,0.0068153664,0.42109722,0.40445983,0.006240015,0.006086006
19304,0.007246921,0.0067391056,0.8926371,0.051658887,0.0053396123,0.003735315,0.0085753035
19305,0.0036665448,0.0034918832,0.94796246,0.028863313,0.0031642306,0.003138192,0.0035619126
19306,0.030071497,0.013947299,0.02327923,0.3025076,0.015708132,0.5612874,0.011679244
19307,0.3336192,0.030980477,0.008347619,0.55568963,0.01848187,0.007705736,0.010744975
19308,0.27323574,0.019123316,0.16458173,0.3989679,0.012732221,0.010051316,0.08020332
19309,0.47339866,0.014748074,0.01078932,0.24672237,0.16724007,0.009078557,0.010157598
19310,0.2327801,0.018905932,0.120620094,0.4559878,0.019826975,0.04799618,0.030820673
19311,0.3143624,0.075643525,0.01365057,0.45653948,0.018447068,0.010617867,0.03374581
19312,0.042497747,0.032352682,0.3433082,0.43913057,0.058404822,0.00972439,0.013199012
19313,0.26249102,0.010719654,0.05301371,0.5691921,0.00864458,0.007918639,0.016934853
19314,0.34928274,0.011142935,0.007965916,0.44329137,0.008705808,0.00777567,0.13135569
19315,0.015810745,0.013132801,0.0058071795,0.12832926,0.011770237,0.78783405,0.006631068
19316,0.47005725,0.037957735,0.02661374,0.28776976,0.10371134,0.008862611,0.02452976
19317,0.16870292,0.01107264,0.013016491,0.6217124,0.0113115115,0.059121337,0.038225703
19318,0.07352164,0.013011582,0.0054493966,0.15024059,0.006439782,0.695274,0.012412993
19319,0.16513957,0.012435935,0.005923766,0.21342942,0.006144716,0.013938021,0.5289454
19320,0.0040317373,0.0039663115,0.9211685,0.049968358,0.0036381825,0.0036082456,0.004149866
19321,0.3628825,0.039702293,0.0092976475,0.29924285,0.23675486,0.009064376,0.009751902
19322,0.44229245,0.014963417,0.009991042,0.44847873,0.023571538,0.010376116,0.011255656
19323,0.481677,0.018323049,0.007972285,0.41169983,0.02437812,0.009056213,0.008531299
19324,0.3554053,0.013695373,0.008365628,0.20924833,0.3651981,0.008292764,0.008796323
19325,0.26986888,0.025503574,0.0647314,0.50284135,0.026273014,0.009682083,0.014861084
19326,0.20750743,0.011485907,0.0057233702,0.19542785,0.03502964,0.005696519,0.5176496
19327,0.16717038,0.02125066,0.082917795,0.5947841,0.0175146,0.010923482,0.05140886
19328,0.09517342,0.053822186,0.27808025,0.3797873,0.03846192,0.014637989,0.04419763
19329,0.003797287,0.0034954986,0.94817954,0.028202806,0.0032063208,0.0031799357,0.0035357936
19330,0.39049956,0.032822076,0.028186455,0.3720878,0.081704915,0.010131536,0.042534642
19331,0.35767424,0.024495125,0.06186738,0.35977873,0.13363536,0.00985068,0.011104466
19332,0.12960637,0.032028977,0.009847863,0.5301599,0.21000592,0.008409008,0.012856762
19333,0.17062636,0.036255956,0.010011306,0.35733622,0.29216835,0.009518152,0.0878797
19334,0.1534069,0.011533004,0.0074050864,0.315718,0.010251365,0.0098506035,0.31554323
19335,0.06383256,0.0070978547,0.0045864293,0.15469058,0.0068301694,0.0045647137,0.73389626
19336,0.16826783,0.03546944,0.009072368,0.48390844,0.24036409,0.009006931,0.018330406
19337,0.22244595,0.021839049,0.010909312,0.38015398,0.2744177,0.0108037125,0.041758817
19338,0.07309927,0.016971657,0.010300829,0.29908895,0.3206894,0.009270437,0.2133672
19339,0.6267415,0.008379192,0.0073564216,0.29604307,0.022107925,0.0074777147,0.0076123024
19340,0.513885,0.012117111,0.007427546,0.39663306,0.0224174,0.008190452,0.0076613636
19341,0.0062350095,0.005526331,0.925986,0.032605805,0.0042265584,0.0030685738,0.0068748263
19342,0.2905412,0.06708231,0.009342437,0.43392187,0.13682537,0.009265429,0.015593257
19343,0.3350033,0.012491308,0.106821634,0.4315655,0.009285138,0.0090991035,0.025411962
